,filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather
13956,002594.png,Car,839.8746,124.975845,1242.0,371.35202,-2.19,4.26,clone
13957,002594.png,Car,744.2605,186.43826,1025.0713,371.62418,-1.89,8.69,clone
13958,002594.png,Misc,351.7907,222.1118,475.19257,299.4082,-1.36,12.68,clone
13959,002594.png,Car,420.8938,192.35443,521.17444,266.8854,1.75,17.2,clone
13960,002594.png,Car,676.29614,190.66322,816.155,285.84592,-1.8,13.61,clone
13961,002594.png,Car,526.48315,184.39377,560.69946,212.63492,1.63,38.17,clone
13962,002594.png,Car,630.54095,181.49461,662.1601,207.39311,-1.63,43.68,clone
9081,001703.png,Car,530.26227,182.45074,562.69165,214.94315,1.54,37.82,clone
9082,001703.png,Car,497.8266,181.98714,527.8479,202.45349,1.44,58.58,clone
18221,003380.png,Van,181.61475,109.49345,449.08865,291.68295,-1.09,13.66,clone
18222,003380.png,Cyclist,685.59814,164.33536,715.0726,233.76497,-1.43,20.29,clone
18223,003380.png,Pedestrian,1155.8533,155.49033,1241.3688,290.1412,-2.25,12.49,clone
18224,003380.png,Person_sitting,1008.39124,184.90822,1118.5426,287.3824,2.58,11.5,clone
18225,003380.png,Person_sitting,962.3427,188.78029,1065.0731,270.6724,2.66,12.72,clone
18226,003380.png,Pedestrian,458.81293,176.18494,483.64954,242.00877,0.73,17.77,clone
18227,003380.png,Pedestrian,39.98327,144.08517,84.25104,248.96286,0.74,16.87,clone
18228,003380.png,Pedestrian,72.80995,158.29623,109.14109,243.73303,0.72,17.43,clone
18229,003380.png,Car,181.22266,183.73462,305.59744,223.97281,-2.55,27.8,clone
39095,007190.png,Car,808.33966,174.17783,930.0755,237.0798,-1.94,20.14,clone
39096,007190.png,Truck,78.09128,143.27986,280.19376,209.05254,0.09,48.82,clone
24645,004566.png,Car,591.452,198.76674,624.0468,227.48477,1.57,41.44,clone
13913,002584.png,Car,576.57153,177.1251,615.5914,212.7003,-1.58,35.31,clone
13914,002584.png,Van,0.67213,101.56887,299.05215,316.92517,-1.05,14.12,clone
13915,002584.png,Car,254.76955,184.97145,368.01108,246.5282,-1.2,20.99,clone
13916,002584.png,Misc,490.4748,159.32744,546.838,216.83826,-1.45,32.97,clone
13917,002584.png,Misc,370.2115,124.31315,512.33795,256.38974,-1.37,18.15,clone
13918,002584.png,Truck,526.4813,141.5193,569.6554,200.92279,-1.52,58.29,clone
21758,004035.png,Car,587.5482,182.39403,641.65,228.67072,-1.58,24.38,clone
21759,004035.png,Car,23.503119,179.90738,326.18967,368.70395,-1.87,8.89,clone
21760,004035.png,Car,302.09167,179.68454,475.4301,258.5324,-2.13,15.95,clone
21762,004035.png,Car,426.85873,183.01614,518.5379,221.19495,-2.17,26.29,clone
21763,004035.png,Van,440.0159,155.04283,555.8465,217.91412,-2.24,28.61,clone
21764,004035.png,Pedestrian,755.77075,174.96727,786.94574,250.33633,-1.79,16.93,clone
21765,004035.png,Car,947.9146,175.65652,1197.9133,264.55408,-0.68,17.47,clone
21766,004035.png,Car,593.6297,178.05919,628.9404,212.33427,-1.55,37.27,clone
21767,004035.png,Car,0.07252619,185.92207,91.15054,306.21964,2.3,11.92,clone
21768,004035.png,Van,1146.9735,138.32553,1241.7062,265.83072,-0.81,21.3,clone
21769,004035.png,Car,137.4229,173.52264,254.80644,229.17752,2.08,28.96,clone
21770,004035.png,Car,243.50656,179.67569,333.7899,215.48862,2.06,34.09,clone
21771,004035.png,Truck,377.34982,159.53307,446.22266,206.87762,1.84,55.12,clone
9825,001840.png,Car,662.81915,180.87515,727.0069,231.75775,-1.69,23.91,clone
9826,001840.png,Car,85.37918,203.04529,393.63354,373.4729,2.0,9.22,clone
9827,001840.png,Car,851.6221,165.32729,1084.1133,235.06235,2.7,18.72,clone
9828,001840.png,Car,820.6802,151.95769,1005.32056,225.17032,2.76,21.52,clone
9829,001840.png,Misc,381.79828,204.20728,448.66074,237.3562,-1.31,24.92,clone
9830,001840.png,Car,413.8515,183.25426,479.42572,229.18335,-1.35,28.87,clone
9831,001840.png,Car,283.1819,194.6168,399.564,263.61612,1.92,18.38,clone
9833,001840.png,Car,472.17432,182.29086,512.9496,213.6507,1.73,40.04,clone
30772,005647.png,Pedestrian,769.9375,152.00142,828.85834,318.42825,2.92,8.04,clone
26589,004924.png,Pedestrian,645.5898,140.85506,665.8692,208.92474,-1.89,21.18,clone
26590,004924.png,Pedestrian,282.95493,135.94528,318.7689,257.05655,-1.55,12.73,clone
26591,004924.png,Pedestrian,607.78357,156.9569,660.4839,293.66812,1.21,8.83,clone
26592,004924.png,Pedestrian,668.3562,156.44302,717.3585,288.76633,1.18,9.29,clone
26593,004924.png,Pedestrian,662.18665,144.54938,694.4227,230.0,-2.03,14.7,clone
26594,004924.png,Pedestrian,550.7435,143.77303,579.0806,231.75351,1.26,14.25,clone
26595,004924.png,Pedestrian,532.2038,139.28758,559.9207,230.87259,1.28,15.22,clone
26596,004924.png,Pedestrian,505.40063,143.02267,535.3342,232.97153,1.12,14.19,clone
26597,004924.png,Pedestrian,485.86142,138.2516,517.5505,234.24663,1.26,13.97,clone
26598,004924.png,Pedestrian,589.35846,144.48863,611.31256,196.61716,-2.61,25.09,clone
26599,004924.png,Pedestrian,450.0561,144.31502,473.54187,212.34958,1.17,21.89,clone
26600,004924.png,Pedestrian,411.2173,139.31027,429.462,198.11676,1.33,22.11,clone
26602,004924.png,Van,1.1735277,0.0,268.13556,368.4388,-1.26,5.13,clone
27062,005000.png,Car,286.87595,179.64417,374.85883,222.93993,2.05,29.63,clone
27063,005000.png,Car,809.9116,177.27618,1081.1498,366.8914,-1.83,8.44,clone
27064,005000.png,Car,737.3944,173.57101,889.3682,275.33542,-1.83,13.03,clone
27065,005000.png,Car,699.4947,175.94946,783.9372,238.18295,-1.71,18.89,clone
27066,005000.png,Car,677.90356,175.19656,743.10425,224.20802,-1.68,24.21,clone
27067,005000.png,Car,658.2778,175.53761,695.6355,207.18999,-1.64,35.27,clone
40426,007456.png,Car,556.78046,173.85829,578.56964,194.88431,-1.53,60.72,clone
40427,007456.png,Truck,586.7243,161.0636,617.6516,190.81961,-1.61,76.87,clone
40428,007456.png,Car,121.075905,192.72025,187.82857,220.32114,2.17,53.44,clone
40429,007456.png,Car,320.80035,184.69077,361.90112,207.2954,1.92,50.61,clone
40430,007456.png,Car,209.635,186.28456,271.48624,215.30327,2.16,53.02,clone
36978,006796.png,Car,910.39014,186.66743,1242.0,372.72708,-2.12,6.31,clone
36979,006796.png,Car,806.4245,175.86664,1027.7522,312.17773,-1.88,11.1,clone
36980,006796.png,Car,782.98456,157.59589,904.7975,257.19702,-1.72,16.7,clone
36981,006796.png,Van,794.9948,149.6625,852.49,200.85204,-1.37,40.31,clone
2221,000419.png,Car,667.7096,173.23085,710.76263,210.57896,-1.64,33.64,clone
2222,000419.png,Car,634.6724,179.14519,659.8509,198.93697,-1.63,51.68,clone
14643,002712.png,Car,837.32806,176.766,1242.0,372.8443,-2.14,5.29,clone
14644,002712.png,Car,734.01917,179.3896,919.0045,296.17023,-1.83,11.45,clone
14645,002712.png,Car,697.74225,178.84167,781.0806,246.58818,-1.67,17.38,clone
14646,002712.png,Car,359.18307,192.38684,448.16522,250.37366,1.86,22.42,clone
14647,002712.png,Car,489.71118,187.09056,522.62103,212.83955,1.7,44.79,clone
14648,002712.png,Car,637.42474,177.55717,666.249,201.79547,-1.63,47.89,clone
14649,002712.png,Car,508.5055,188.17593,535.4178,207.99814,1.71,50.31,clone
34756,006386.png,Car,561.99896,171.69077,584.3249,193.03873,-1.54,60.37,clone
34757,006386.png,Truck,592.81024,158.93697,623.4439,189.11424,-1.62,76.9,clone
34758,006386.png,Car,195.83052,188.42822,250.46707,212.1297,2.07,58.98,clone
34759,006386.png,Car,358.91782,180.97047,393.81055,201.56645,1.89,56.9,clone
34760,006386.png,Car,274.61884,182.43777,324.9183,208.02148,2.09,59.28,clone
4848,000920.png,Car,205.8504,190.1758,428.24066,330.07227,1.86,10.83,clone
4849,000920.png,Car,646.3014,178.41449,723.14606,243.28636,1.41,20.8,clone
4850,000920.png,Car,468.387,184.02629,530.6886,226.35147,1.71,27.56,clone
4851,000920.png,Car,629.20807,186.85893,682.14874,225.9516,-1.73,27.57,clone
3129,000585.png,Car,565.9162,173.68568,617.4876,222.6532,-1.55,25.39,clone
3130,000585.png,Car,421.25113,182.11946,473.30908,217.73817,1.77,33.15,clone
3131,000585.png,Car,519.54407,176.83632,553.93665,203.93309,1.66,43.51,clone
3132,000585.png,Cyclist,218.93626,182.30939,260.4633,235.21434,2.02,27.37,clone
8429,001593.png,Car,0.7673547,215.26488,380.22287,372.08694,2.16,4.78,clone
8430,001593.png,Car,899.9769,204.56772,1241.6812,373.07755,-2.31,4.54,clone
8431,001593.png,Car,730.03906,200.17595,989.9755,373.77017,-1.85,8.8,clone
8432,001593.png,Car,469.5803,192.80025,555.5776,257.9434,1.75,19.19,clone
8433,001593.png,Car,518.908,178.1987,584.0251,239.62958,1.68,24.58,clone
8434,001593.png,Car,559.1184,183.23074,609.0515,229.19537,1.68,30.47,clone
8435,001593.png,Car,620.99255,189.89946,657.16833,214.1868,1.82,45.92,clone
22525,004178.png,Car,583.8228,174.99641,636.4979,213.33685,-1.41,28.9,clone
22526,004178.png,Car,484.31186,171.62558,536.67676,206.23955,1.78,31.98,clone
10753,002011.png,Car,591.01404,172.29048,624.94476,204.67715,-1.59,38.37,clone
10754,002011.png,Car,209.10448,186.67697,356.6768,253.13197,2.03,19.31,clone
39176,007203.png,Van,1.0680308,0.0,283.9034,372.85162,2.73,3.46,clone
39177,007203.png,Car,780.32697,153.5826,1242.0,372.75497,-0.44,6.73,clone
39178,007203.png,Van,274.8181,133.91357,537.9974,334.46997,1.82,11.26,clone
39179,007203.png,Pedestrian,1112.4868,150.13585,1147.0026,267.47552,-2.18,12.05,clone
39180,007203.png,Pedestrian,767.7279,168.19931,794.0441,226.7502,-1.8,20.99,clone
39181,007203.png,Car,672.15814,179.99542,739.02344,232.23186,-1.73,23.16,clone
39182,007203.png,Car,654.9987,177.12993,707.3524,220.8921,-1.71,28.09,clone
39183,007203.png,Pedestrian,608.46625,169.98193,619.89703,196.41528,0.66,54.86,clone
25375,004710.png,Car,0.692467,188.57225,419.9375,372.92334,-1.14,7.02,clone
25376,004710.png,Car,492.14642,168.78773,557.4059,221.09879,1.76,26.18,clone
25377,004710.png,Car,687.4133,175.09708,794.44666,267.10208,-1.71,13.97,clone
25378,004710.png,Cyclist,594.82574,169.96042,606.70416,204.6738,1.59,34.7,clone
25379,004710.png,Car,672.94885,184.53163,749.8811,242.47516,-1.63,18.78,clone
25380,004710.png,Car,634.906,174.04254,659.0193,195.50603,1.54,50.87,clone
25381,004710.png,Car,251.16946,169.64557,432.31622,230.09242,-2.79,21.01,clone
12402,002312.png,Car,207.14282,193.2271,362.98413,271.15692,-1.06,16.78,clone
12403,002312.png,Car,92.87657,195.38832,292.74,275.30746,-0.88,18.53,clone
12404,002312.png,Car,0.0,204.2035,41.951916,275.24487,-0.68,23.71,clone
16997,003141.png,Car,0.5825488,193.96582,276.1862,359.42935,2.15,10.98,clone
16998,003141.png,Car,918.05743,193.42159,1241.1433,371.99734,-2.3,4.65,clone
16999,003141.png,Car,762.355,183.35649,1038.8672,352.85657,-2.01,9.0,clone
17000,003141.png,Car,232.08542,193.41731,378.0819,282.1076,1.94,15.42,clone
17001,003141.png,Pedestrian,791.9914,158.16656,815.56104,226.00748,-1.83,19.07,clone
17002,003141.png,Pedestrian,817.539,153.1085,842.57654,225.70322,-1.86,18.78,clone
17003,003141.png,Car,721.0197,183.09203,840.5791,266.82877,-1.82,14.36,clone
16541,003053.png,Car,307.6703,177.32616,451.22083,226.20206,-2.93,24.5,clone
16542,003053.png,Car,645.5574,169.63766,728.45575,233.49684,-1.73,20.66,clone
16544,003053.png,Car,0.0,182.18813,220.65584,341.91394,-2.55,10.45,clone
37169,006833.png,Car,0.15195927,188.21658,167.07477,371.93237,0.8,7.98,clone
37171,006833.png,Car,4.4093285,165.79823,348.79514,302.7024,0.58,11.96,clone
37173,006833.png,Car,198.38043,179.99498,419.143,253.34308,-2.81,16.35,clone
37175,006833.png,Car,315.74124,163.88664,462.88028,226.5622,-2.92,23.06,clone
37177,006833.png,Cyclist,546.8644,170.86765,560.15607,205.03815,1.62,38.01,clone
37178,006833.png,Car,766.2875,191.13396,1040.4158,366.10077,-1.89,8.45,clone
37179,006833.png,Car,843.48895,170.46204,1111.6812,274.7318,-0.39,14.34,clone
37180,006833.png,Car,773.8878,178.40268,924.7507,237.07507,-0.32,16.38,clone
37182,006833.png,Car,711.5241,169.77295,829.298,217.52438,2.84,23.99,clone
37187,006833.png,Car,635.5062,176.92043,671.1884,201.34029,-1.68,41.71,clone
37188,006833.png,Van,615.43945,164.00116,631.6231,184.0385,-1.59,102.66,clone
23101,004278.png,Car,583.71747,172.01797,602.9206,187.57188,-1.58,60.86,clone
23102,004278.png,Car,559.3086,170.02449,576.8208,184.11119,-1.54,73.11,clone
29373,005398.png,Car,0.15081923,190.8343,200.61125,308.55118,2.16,14.59,clone
29374,005398.png,Car,452.38452,178.13501,507.6477,215.1979,1.75,29.42,clone
29375,005398.png,Car,147.12787,184.83379,297.39444,262.65524,1.97,19.05,clone
29376,005398.png,Car,274.2293,185.7669,363.36423,236.03206,1.87,24.35,clone
29377,005398.png,Car,333.95352,179.50563,414.76678,220.50455,2.11,30.9,clone
29378,005398.png,Car,659.9065,168.88487,689.0872,193.9286,-1.51,43.4,clone
1598,000313.png,Car,274.08817,185.68803,424.9217,229.49265,0.4,25.81,clone
11118,002084.png,Car,714.6042,176.2143,797.00037,232.07477,-1.72,20.97,clone
11119,002084.png,Car,714.2736,168.8828,769.52325,187.32158,2.89,53.67,clone
11120,002084.png,Pedestrian,522.7755,169.50531,532.31464,202.5288,0.12,37.18,clone
11121,002084.png,Cyclist,800.05096,167.02742,849.2175,204.60492,-3.08,31.35,clone
11122,002084.png,Car,864.07623,163.46368,927.1497,184.67058,3.03,55.6,clone
11124,002084.png,Car,361.81534,180.27484,413.9529,198.89885,0.67,54.13,clone
3245,000603.png,Car,733.37445,172.78764,853.1941,272.52792,-2.8,4.09,clone
3246,000603.png,Car,387.73975,179.817,443.60156,210.61424,1.96,38.79,clone
3248,000603.png,Car,701.12854,174.20433,795.7854,240.76065,-1.75,18.45,clone
3249,000603.png,Car,681.08075,176.15788,741.0657,223.95763,-1.66,24.27,clone
3251,000603.png,Car,654.6756,176.80623,686.02954,202.67827,-1.63,40.93,clone
39572,007284.png,Car,65.95352,197.65717,186.41454,242.34158,2.17,29.82,clone
39573,007284.png,Car,303.98044,183.87537,365.7248,214.78793,1.96,43.45,clone
39574,007284.png,Car,410.66193,181.45679,448.2898,202.71788,1.85,56.22,clone
39575,007284.png,Tram,461.84088,154.11742,528.57733,197.53079,1.72,66.26,clone
39576,007284.png,Cyclist,714.2533,169.43459,728.67413,200.86731,-1.71,38.98,clone
8853,001669.png,Car,0.0,199.36041,328.71445,372.28305,2.25,4.93,clone
8854,001669.png,Car,520.1329,183.26125,564.0309,219.40257,1.66,32.54,clone
25078,004656.png,Car,154.49687,195.21968,444.01825,368.69913,1.91,9.41,clone
38849,007141.png,Car,716.8921,176.04822,739.73517,192.49681,-1.7,65.52,clone
38850,007141.png,Van,461.81732,168.39104,514.08887,209.45554,1.8,45.17,clone
29008,005328.png,Car,584.29407,175.45047,601.5357,188.86789,-1.58,70.53,clone
29009,005328.png,Car,438.57504,176.78018,485.68002,208.28043,1.74,39.06,clone
18230,003381.png,Car,952.3068,190.613,1242.0,373.2428,-2.21,5.97,clone
18231,003381.png,Car,260.8157,184.6588,456.98654,311.9398,1.92,11.14,clone
18232,003381.png,Car,775.0411,176.13826,986.30914,298.8859,-1.89,11.93,clone
18233,003381.png,Car,418.9176,170.20967,521.43365,249.26299,1.78,18.38,clone
18234,003381.png,Car,519.18555,173.05585,592.646,223.26466,1.9,24.93,clone
18235,003381.png,Car,736.8313,172.202,824.9006,242.63885,-1.67,19.17,clone
18236,003381.png,Car,732.93353,174.58655,791.3467,226.10294,-1.57,24.48,clone
18237,003381.png,Car,646.9252,170.56949,709.92664,206.08041,1.95,35.4,clone
18238,003381.png,Truck,802.2618,138.44702,851.11084,177.67928,-1.43,75.2,clone
25719,004772.png,Car,598.9669,177.55592,621.5099,198.00948,-1.58,51.73,clone
25720,004772.png,Car,1046.2858,214.41035,1241.9404,372.7224,-2.6,3.46,clone
25721,004772.png,Car,789.66766,181.23154,1213.9564,372.46542,-1.98,7.17,clone
25722,004772.png,Car,542.1403,179.87794,574.34247,206.30106,1.64,41.28,clone
25723,004772.png,Car,699.74347,178.4821,797.65643,253.50471,-1.77,17.05,clone
25724,004772.png,Car,671.7402,173.74971,748.9059,235.56287,-1.73,21.45,clone
25725,004772.png,Car,660.8022,174.07161,718.5627,217.26457,-1.76,25.22,clone
25726,004772.png,Car,648.07666,176.5198,686.1234,209.76547,-1.68,34.9,clone
25727,004772.png,Car,420.22397,181.07533,478.27524,201.92427,0.16,56.11,clone
25728,004772.png,Car,347.64944,182.5237,405.53186,202.64288,0.33,57.49,clone
25729,004772.png,Pedestrian,737.74945,161.69676,756.9764,222.6314,-1.76,25.03,clone
31826,005847.png,Car,0.16039488,215.4062,91.45936,372.94876,-2.34,9.3,clone
31827,005847.png,Car,91.68129,194.30835,334.87656,283.57373,-2.72,15.05,clone
31828,005847.png,Car,344.6646,186.10666,458.45035,227.60374,-2.9,26.23,clone
29948,005504.png,Cyclist,625.0591,160.72083,654.92346,237.0333,-1.65,16.84,clone
29949,005504.png,Cyclist,406.20868,164.8494,460.63684,266.95786,1.76,13.0,clone
29950,005504.png,Pedestrian,708.7323,156.89978,739.9789,238.75803,-1.76,15.78,clone
29951,005504.png,Car,740.8361,164.79889,926.6126,223.41737,-0.32,19.01,clone
27636,005092.png,Car,0.0,171.38826,85.46997,223.08408,2.24,34.48,clone
27637,005092.png,Car,57.343903,166.11859,136.20232,200.27731,1.95,62.59,clone
27638,005092.png,Car,578.737,166.8798,633.834,222.41093,-1.23,69.73,clone
1149,000224.png,Car,339.61237,178.92891,384.3746,200.4555,1.88,49.17,clone
14779,002735.png,Pedestrian,734.2812,147.76384,815.8257,321.62576,2.93,8.02,clone
572,000121.png,Car,721.77075,168.7659,754.599,195.1808,-1.51,43.56,clone
573,000121.png,Car,636.9575,171.45177,683.7557,200.1404,-1.36,38.88,clone
574,000121.png,Car,340.66193,182.3176,414.21118,222.34923,2.08,29.45,clone
575,000121.png,Car,486.5276,179.07509,527.869,204.26096,1.85,45.27,clone
576,000121.png,Tram,595.04395,155.91782,658.2038,185.41771,1.21,87.13,clone
3220,000598.png,Pedestrian,945.66437,134.9169,1020.0006,287.06805,2.63,10.7,clone
32824,006027.png,Car,849.0603,187.9583,1242.0,372.27884,-2.13,4.99,clone
32825,006027.png,Car,63.401608,182.16808,379.82425,361.8331,-1.12,10.47,clone
32826,006027.png,Car,411.32315,181.21373,490.27972,236.53235,1.78,23.73,clone
32827,006027.png,Cyclist,543.99274,172.05437,559.7344,207.69727,1.66,41.8,clone
32828,006027.png,Cyclist,558.5109,171.99379,571.5106,205.04453,1.61,42.29,clone
32829,006027.png,Car,484.04477,180.05745,529.5334,211.40431,1.71,39.66,clone
32830,006027.png,Car,631.7972,175.7471,655.1419,194.18005,-1.57,60.17,clone
32831,006027.png,Car,667.4843,172.44785,748.9999,237.5931,-1.71,19.94,clone
27068,005001.png,Car,250.01154,192.76065,436.99106,318.18695,1.86,11.44,clone
27069,005001.png,Van,383.53842,168.17033,495.06952,258.5521,1.78,17.17,clone
27070,005001.png,Car,512.9458,179.54387,555.9333,211.9895,1.66,34.39,clone
6678,001249.png,Pedestrian,954.8514,153.17761,1022.46814,316.82748,2.65,8.83,clone
31094,005699.png,Pedestrian,495.43472,176.83514,506.4724,201.62009,1.74,58.46,clone
14014,002604.png,Car,586.46893,176.49948,670.6119,253.0255,-1.56,17.24,clone
14015,002604.png,Car,0.0,196.40933,258.9852,375.74033,-0.93,7.58,clone
14016,002604.png,Car,0.0,186.00919,206.50356,296.53598,-0.95,14.03,clone
14017,002604.png,Car,294.2344,184.89874,451.37128,273.622,-1.27,14.79,clone
14018,002604.png,Misc,400.03024,105.73616,535.26843,233.28763,-1.4,26.07,clone
14019,002604.png,Misc,529.87634,144.48895,566.8803,195.44858,-1.53,61.75,clone
14020,002604.png,Car,156.56877,184.01785,272.6853,233.85878,-1.08,25.97,clone
14021,002604.png,Van,273.2194,165.32715,356.40884,216.77974,-1.19,32.08,clone
14022,002604.png,Car,689.51184,182.98587,720.9049,201.88391,-1.29,62.57,clone
1931,000370.png,Car,0.06691479,194.11435,182.77141,319.99173,-2.55,11.66,clone
1933,000370.png,Car,614.6823,163.40773,721.0049,205.06567,-0.22,27.5,clone
1934,000370.png,Car,668.20245,163.63393,858.3576,234.13846,-0.35,17.13,clone
1935,000370.png,Car,118.897514,165.94469,325.45764,244.22719,0.3,19.28,clone
1936,000370.png,Car,200.25859,175.09288,368.88763,228.44888,-2.85,21.62,clone
1938,000370.png,Car,277.47266,167.15936,406.3871,213.42097,-2.96,29.14,clone
25758,004779.png,Car,517.1063,160.55482,740.4405,372.57748,-1.58,7.19,clone
25759,004779.png,Car,376.5266,183.87442,418.07028,203.77061,1.84,55.28,clone
25760,004779.png,Car,334.91458,188.05856,373.15866,206.64452,1.92,55.25,clone
25761,004779.png,Car,423.90277,179.47781,463.4599,200.0515,1.8,55.06,clone
25762,004779.png,Car,950.0759,171.36966,1081.2166,215.5084,2.67,31.69,clone
25763,004779.png,Car,987.3775,165.26279,1187.7106,235.94669,-0.49,22.11,clone
25766,004779.png,Van,156.79172,179.9227,302.61594,236.2379,0.68,27.55,clone
25767,004779.png,Van,48.80967,185.54007,226.54626,253.47215,0.75,24.95,clone
19765,003658.png,Car,0.40304333,193.6627,327.89093,372.18896,2.19,5.95,clone
19766,003658.png,Car,428.13022,184.62517,515.5928,242.84087,1.77,21.54,clone
19767,003658.png,Van,473.4243,171.06291,528.48285,217.12402,1.73,29.89,clone
19768,003658.png,Car,527.27295,173.8667,555.14575,195.82846,1.64,46.57,clone
12110,002257.png,Car,0.0072770477,200.99341,169.38573,372.6097,0.77,8.68,clone
12111,002257.png,Car,0.0,180.56818,313.3234,336.46164,0.6,10.16,clone
12113,002257.png,Car,153.07861,173.71803,410.93994,270.6511,0.48,14.52,clone
12115,002257.png,Car,258.07025,179.93109,449.5687,245.43733,-2.87,19.07,clone
12117,002257.png,Car,356.92578,164.05997,491.10098,223.07175,-2.96,25.88,clone
12119,002257.png,Cyclist,555.70306,175.5003,568.64923,205.98203,1.61,42.28,clone
12120,002257.png,Car,731.3655,189.9914,902.06824,305.4235,-1.81,11.13,clone
12121,002257.png,Car,801.75146,173.12352,1016.04407,254.57462,-0.32,16.99,clone
12122,002257.png,Car,704.24005,173.3507,807.4996,215.71846,-0.25,29.62,clone
12125,002257.png,Car,636.5244,177.53603,668.971,202.14702,-1.67,44.64,clone
13206,002454.png,Car,0.9934836,168.92451,320.99377,318.97803,0.6,10.83,clone
13208,002454.png,Car,117.420906,173.03853,371.51657,264.24756,0.52,15.17,clone
13209,002454.png,Car,223.28879,169.3866,362.78098,244.36548,-2.8,17.26,clone
13210,002454.png,Car,282.99023,174.54123,467.42,238.9602,0.26,19.16,clone
13211,002454.png,Van,270.5917,126.955185,498.02725,233.83366,0.31,21.81,clone
13212,002454.png,Car,679.343,181.0222,785.0808,255.23753,-1.73,17.05,clone
13213,002454.png,Car,767.02026,179.64743,884.7048,225.6396,-0.21,22.72,clone
